targetId,comparatorId,outcomeId,outcomeName,type
816,817,316457,Mallory-Weiss syndrome,outcome
816,817,192606,Paraplegia,outcome
816,817,374655,Mastoiditis,outcome
816,817,436675,Anorexia nervosa,outcome
816,817,4001458,Fatigue fracture of vertebra,outcome
816,817,380395,Retinal dystrophy,outcome
816,817,197036,Vesicoureteric reflux,outcome
816,817,4299544,Acanthosis nigricans,outcome
816,817,376132,Ectropion,outcome
816,817,80509,Bone cyst,outcome
816,817,438407,Bulimia nervosa,outcome
816,817,4339088,Testicular mass,outcome
